"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"5","Akron","08/30/12","128","UCF","14","56","Home"
"5","Akron","09/08/12","231","FIU","38","41","Away"
"5","Akron","09/15/12","446","Morgan St.","","","Home"
"5","Akron","09/22/12","694","Tennessee","","","Away"
"5","Akron","09/29/12","414","Miami (OH)","","","Home"
"5","Akron","10/06/12","71","Bowling Green","","","Home"
"5","Akron","10/13/12","519","Ohio","","","Away"
"5","Akron","10/20/12","503","Northern Ill.","","","Home"
"5","Akron","10/27/12","129","Central Mich.","","","Away"
"5","Akron","11/03/12","331","Kent St.","","","Away"
"5","Akron","11/10/12","400","Massachusetts","","","Home"
"5","Akron","11/20/12","709","Toledo","","","Away"
"8","Alabama","09/01/12","418","Michigan","41","14","Neutral Site"
"8","Alabama","09/08/12","772","Western Ky.","35","0","Home"
"8","Alabama","09/15/12","31","Arkansas","","","Away"
"8","Alabama","09/22/12","229","Fla. Atlantic","","","Home"
"8","Alabama","09/29/12","433","Ole Miss","","","Home"
"8","Alabama","10/13/12","434","Missouri","","","Away"
"8","Alabama","10/20/12","694","Tennessee","","","Away"
"8","Alabama","10/27/12","430","Mississippi St.","","","Home"
"8","Alabama","11/03/12","365","LSU","","","Away"
"8","Alabama","11/10/12","697","Texas A&M","","","Home"
"8","Alabama","11/17/12","769","Western Caro.","","","Home"
"8","Alabama","11/24/12","37","Auburn","","","Home"
"9","UAB","09/01/12","716","Troy","29","39","Home"
"9","UAB","09/15/12","648","South Carolina","","","Away"
"9","UAB","09/22/12","518","Ohio St.","","","Away"
"9","UAB","09/29/12","719","Tulsa","","","Home"
"9","UAB","10/06/12","655","Southeastern La.","","","Home"
"9","UAB","10/13/12","288","Houston","","","Away"
"9","UAB","10/20/12","196","East Carolina","","","Home"
"9","UAB","10/27/12","718","Tulane","","","Away"
"9","UAB","11/03/12","664","Southern Miss.","","","Away"
"9","UAB","11/10/12","388","Marshall","","","Home"
"9","UAB","11/17/12","404","Memphis","","","Home"
"9","UAB","11/24/12","128","UCF","","","Away"
"28","Arizona St.","08/30/12","501","Northern Ariz.","63","6","Home"
"28","Arizona St.","09/08/12","301","Illinois","45","14","Home"
"28","Arizona St.","09/15/12","434","Missouri","","","Away"
"28","Arizona St.","09/22/12","732","Utah","","","Home"
"28","Arizona St.","09/29/12","107","California","","","Away"
"28","Arizona St.","10/11/12","157","Colorado","","","Away"
"28","Arizona St.","10/18/12","529","Oregon","","","Home"
"28","Arizona St.","10/27/12","110","UCLA","","","Home"
"28","Arizona St.","11/03/12","528","Oregon St.","","","Away"
"28","Arizona St.","11/10/12","657","Southern California","","","Away"
"28","Arizona St.","11/17/12","754","Washington St.","","","Home"
"28","Arizona St.","11/23/12","29","Arizona","","","Away"
"29","Arizona","09/01/12","709","Toledo","24","17","Home"
"29","Arizona","09/08/12","521","Oklahoma St.","59","38","Home"
"29","Arizona","09/15/12","647","South Carolina St.","","","Home"
"29","Arizona","09/22/12","529","Oregon","","","Away"
"29","Arizona","09/29/12","528","Oregon St.","","","Home"
"29","Arizona","10/06/12","674","Stanford","","","Away"
"29","Arizona","10/20/12","756","Washington","","","Home"
"29","Arizona","10/27/12","657","Southern California","","","Home"
