"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Location"
"5","Akron","11/09/02","519","Ohio","Away"
"5","Akron","10/12/02","355","Liberty","Home"
"5","Akron","11/02/02","388","Marshall","Home"
"5","Akron","10/26/02","128","Central Fla.","Away"
"5","Akron","09/07/02","392","Maryland","Away"
"5","Akron","09/14/02","129","Central Mich.","Home"
"5","Akron","10/05/02","204","Eastern Mich.","Away"
"5","Akron","09/21/02","746","Virginia","Away"
"5","Akron","11/16/02","86","Buffalo","Home"
"5","Akron","09/28/02","414","Miami (Ohio)","Home"
"5","Akron","08/31/02","312","Iowa","Away"
"5","Akron","11/23/02","331","Kent St.","Away"
"8","Alabama","09/21/02","664","Southern Miss.","Home"
"8","Alabama","11/02/02","736","Vanderbilt","Away"
"8","Alabama","10/26/02","694","Tennessee","Away"
"8","Alabama","11/23/02","37","Auburn","Home"
"8","Alabama","09/07/02","522","Oklahoma","Away"
"8","Alabama","11/16/02","365","LSU","Away"
"8","Alabama","11/30/02","277","Hawaii","Away"
"8","Alabama","08/31/02","419","Middle Tenn. St.","Home"
"8","Alabama","11/09/02","430","Mississippi St.","Home"
"8","Alabama","10/19/02","433","Mississippi","Home"
"8","Alabama","09/14/02","497","North Texas","Home"
"8","Alabama","09/28/02","31","Arkansas","Away"
"8","Alabama","10/05/02","257","Georgia","Home"
"9","UAB","09/21/02","671","La.-Lafayette","Away"
"9","UAB","11/23/02","367","Louisville","Away"
"9","UAB","11/16/02","196","East Caro.","Home"
"9","UAB","11/09/02","664","Southern Miss.","Home"
"9","UAB","11/30/02","140","Cincinnati","Away"
"9","UAB","09/14/02","545","Pittsburgh","Home"
"9","UAB","08/31/02","235","Florida","Away"
"9","UAB","10/19/02","718","Tulane","Away"
"9","UAB","10/12/02","288","Houston","Home"
"9","UAB","09/28/02","404","Memphis","Home"
"9","UAB","09/07/02","716","Troy St.","Home"
"9","UAB","10/26/02","725","Army","Away"
"28","Arizona St.","08/24/02","463","Nebraska","Away"
"28","Arizona St.","11/02/02","754","Washington St.","Away"
"28","Arizona St.","11/29/02","29","Arizona","Away"
"28","Arizona St.","09/28/02","674","Stanford","Home"
"28","Arizona St.","10/19/02","529","Oregon","Away"
"28","Arizona St.","10/26/02","756","Washington","Home"
"28","Arizona St.","10/12/02","528","Oregon St.","Home"
"28","Arizona St.","09/07/02","128","Central Fla.","Home"
"28","Arizona St.","08/31/02","207","Eastern Wash.","Home"
"28","Arizona St.","11/09/02","107","California","Home"
"28","Arizona St.","10/05/02","457","North Carolina","Home"
"28","Arizona St.","12/27/02","327","Kansas St.","Neutral Site"
"28","Arizona St.","11/16/02","657","Southern California","Away"
"28","Arizona St.","09/14/02","626","San Diego St.","Away"
"29","Arizona","11/02/02","528","Oregon St.","Away"
"29","Arizona","11/16/02","107","California","Away"
"29","Arizona","11/29/02","28","Arizona St.","Home"
"29","Arizona","08/31/02","501","Northern Ariz.","Home"
"29","Arizona","09/28/02","497","North Texas","Home"
"29","Arizona","09/21/02","796","Wisconsin","Away"
"29","Arizona","09/14/02","732","Utah","Home"
"29","Arizona","10/19/02","674","Stanford","Away"
"29","Arizona","10/05/02","529","Oregon","Home"
"29","Arizona","10/12/02","756","Washington","Away"
"29","Arizona","11/09/02","110","UCLA","Home"
"29","Arizona","10/26/02","754","Washington St.","Home"
"30","Arkansas St.","09/07/02","719","Tulsa","Home"
"30","Arkansas St.","08/25/02","742","Virginia Tech","Away"
"30","Arkansas St.","09/28/02","695","Tenn.-Martin","Home"
"30","Arkansas St.","11/02/02","667","Southern Utah","Home"
"30","Arkansas St.","10/26/02","472","New Mexico St.","Home"
"30","Arkansas St.","08/31/02","630","San Jose St.","Neutral Site"
"30","Arkansas St.","11/09/02","671","La.-Lafayette","Away"
"30","Arkansas St.","09/14/02","301","Illinois","Away"
"30","Arkansas St.","10/12/02","433","Mississippi","Away"
"30","Arkansas St.","11/16/02","295","Idaho","Away"
"30","Arkansas St.","10/05/02","419","Middle Tenn. St.","Home"
"30","Arkansas St.","09/21/02","498","La.-Monroe","Away"
"30","Arkansas St.","10/19/02","497","North Texas","Home"
"31","Arkansas","11/09/02","648","South Carolina","Away"
"31","Arkansas","11/16/02","671","La.-Lafayette","Home"
"31","Arkansas","12/30/02","428","Minnesota","Away"
"31","Arkansas","09/07/02","66","Boise St.","Home"
"31","Arkansas","12/07/02","257","Georgia","Away"
"31","Arkansas","10/26/02","433","Mississippi","Home"
"31","Arkansas","11/23/02","430","Mississippi St.","Away"
"31","Arkansas","11/02/02","716","Troy St.","Home"
"31","Arkansas","10/05/02","694","Tennessee","Away"
"31","Arkansas","10/12/02","37","Auburn","Away"
"31","Arkansas","09/14/02","651","South Fla.","Home"
"31","Arkansas","11/29/02","365","LSU","Home"
"31","Arkansas","09/28/02","8","Alabama","Home"
"31","Arkansas","10/19/02","334","Kentucky","Home"
"37","Auburn","10/19/02","235","Florida","Away"
"37","Auburn","10/26/02","365","LSU","Home"
