Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"09/03/05","Air Force","20","Home","Washington","17",Seattle WA
"09/10/05","Air Force","41","Away","San Diego St.","29",
"10/15/05","Air Force","42","Away","UNLV","7",
"11/19/05","Air Force","42","Home","New Mexico","24",
"10/8/05","Akron","13","Home","Buffalo","7",
"09/17/05","Akron","17","Home","Middle Tenn.","7",
"10/29/05","Akron","24","Home","Bowling Green St.","14",
"11/15/05","Akron","27","Away","Ohio","3",
"12/01/05","Akron","31","Away","Northern Ill.","30",MAC Championship (Detroit MI)
"11/24/05","Akron","35","Away","Kent St.","3",
"09/24/05","Akron","48","Away","Northern Ill.","42",
"01/02/06","Alabama","13","Away","Texas Tech","10",Cotton Bowl (Dallas TX)
"10/15/05","Alabama","13","Home","Ole Miss","10",
"11/05/05","Alabama","17","Home","Mississippi St.","0",
"09/24/05","Alabama","24","Away","Arkansas","13",
"09/03/05","Alabama","26","Away","Middle Tenn.","7",
"09/10/05","Alabama","30","Away","Southern Miss.","21",
"10/1/05","Alabama","31","Away","Florida","3",
"10/29/05","Alabama","35","Away","Utah St.","3",
"09/17/05","Alabama","37","Home","South Carolina","14",
"10/22/05","Alabama","6","Away","Tennessee","3",
"09/10/05","UAB","27","Home","Troy","7",
"09/17/05","UAB","35","Away","Jacksonville St.","28",
"11/19/05","UAB","35","Home","UTEP","23",
"11/01/05","UAB","37","Home","Memphis","20",
"10/1/05","UAB","45","Away","Rice","26",
"11/25/05","Arizona St.","23","Away","Arizona","20",
"11/05/05","Arizona St.","27","Home","Washington St.","24",
"09/24/05","Arizona St.","42","Home","Oregon St.","24",
"10/29/05","Arizona St.","44","Away","Washington","20",
"12/27/05","Arizona St.","45","Away","Rutgers","40",Insight Bowl (Phoenix AZ)
"09/17/05","Arizona St.","52","Away","Northwestern","21",
"09/01/05","Arizona St.","63","Away","Temple","16",
"10/29/05","Arizona","29","Home","Oregon St.","27",
"09/10/05","Arizona","31","Away","Northern Arizona","12",
"11/05/05","Arizona","52","Away","UCLA","14",
"10/22/05","Arkansas St.","3","Away","Florida Atlantic","0",
"11/26/05","Arkansas St.","31","Home","North Texas","24",
"10/13/05","Arkansas St.","39","Away","La.-Lafayette","36",
"09/10/05","Arkansas St.","56","Away","Tennessee-Martin","7",
"09/24/05","Arkansas St.","66","Away","FIU","24",
"11/12/05","Arkansas St.","9","Away","Troy","3",
"11/12/05","Arkansas","28","Home","Ole Miss","17",
"10/8/05","Arkansas","44","Away","La.-Monroe","15",Little Rock AR
"11/19/05","Arkansas","44","Away","Mississippi St.","10",Little Rock AR
"09/03/05","Arkansas","49","Away","Missouri St.","17",
"10/22/05","Army","20","Home","Akron","0",
"11/05/05","Army","27","Home","Air Force","24",
"11/12/05","Army","34","Away","Massachusetts","27",
"11/19/05","Army","38","Away","Arkansas St.","10",
"10/29/05","Auburn","27","Away","Ole Miss","3",
"11/19/05","Auburn","28","Away","Alabama","18",
"09/10/05","Auburn","28","Away","Mississippi St.","0",
"11/12/05","Auburn","31","Home","Georgia","30",
"10/15/05","Auburn","34","Home","Arkansas","17",
"09/24/05","Auburn","37","Away","Western Ky.","14",
"10/1/05","Auburn","48","Away","South Carolina","7",
"11/05/05","Auburn","49","Home","Kentucky","27",
"09/17/05","Auburn","63","Away","Ball St.","3",
"11/05/05","Ball St.","23","Away","Akron","17",
"11/12/05","Ball St.","26","Home","Eastern Michigan","25",
"10/29/05","Ball St.","31","Home","Northern Ill.","17",
"10/8/05","Ball St.","60","Home","Western Mich.","57",
"09/17/05","Baylor","20","Home","Army","10",
"10/8/05","Baylor","23","Home","Iowa St.","13",
"09/03/05","Baylor","28","Home","SMU","23",
"11/19/05","Baylor","44","Away","Oklahoma St.","34",
"09/10/05","Baylor","48","Away","Samford","14",
"10/8/05","Boise St.","21","Away","Portland St.","14",
"11/26/05","Boise St.","30","Home","Louisiana Tech","13",
"10/15/05","Boise St.","38","Away","San Jose St.","21",
"10/1/05","Boise St.","44","Home","Hawaii","41",
"10/22/05","Boise St.","45","Home","Utah St.","21",
"09/21/05","Boise St.","48","Away","Bowling Green St.","20",
"10/29/05","Boise St.","49","Away","Nevada","14",
"11/05/05","Boise St.","56","Away","New Mexico St.","6",
"11/19/05","Boise St.","70","Away","Idaho","35",
"09/24/05","Boston College","16","Home","Clemson","13",
"09/03/05","Boston College","20","Home","BYU","3",
"12/28/05","Boston College","27","Home","Boise St.","21",MPC Computers Bowl (Boise ID)
"10/8/05","Boston College","28","Away","Virginia","17",
"11/12/05","Boston College","30","Away","North Carolina St.","10",
"11/19/05","Boston College","31","Home","Maryland","16",
"10/15/05","Boston College","35","Away","Wake Forest","30",
"10/1/05","Boston College","38","Away","Ball St.","0",
"09/10/05","Boston College","44","Away","Army","7",
"11/05/05","Bowling Green St.","24","Home","Kent St.","14",
"10/15/05","Bowling Green St.","27","Home","Buffalo","7",
"10/8/05","Bowling Green St.","38","Away","Ohio","14",
"09/10/05","Bowling Green St.","40","Home","Ball St.","31",
"11/15/05","Bowling Green St.","42","Home","Miami (OH)","14",
"10/1/05","Bowling Green St.","70","Away","Temple","7",
"10/15/05","BYU","24","Away","Colorado St.","14",
"10/8/05","BYU","27","Home","New Mexico","24",
"11/12/05","BYU","35","Home","Wyoming","21",
"09/10/05","BYU","45","Away","Eastern Illinois","10",
"11/05/05","BYU","55","Home","UNLV","14",
"10/29/05","BYU","62","Away","Air Force","41",
"11/12/05","Buffalo","10","Home","Kent St.","6",
"11/19/05","California","27","Home","Stanford","3",
"10/1/05","California","28","Away","Arizona","0",
"12/22/05","California","35","Away","BYU","28",Las Vegas Bowl (Las Vegas NV)
"09/17/05","California","35","Away","Illinois","20",
"09/03/05","California","41","Away","Sacramento St.","3",
"09/23/05","California","41","Home","New Mexico St.","13",
"10/22/05","California","42","Away","Washington St.","38",
"09/10/05","California","56","Home","Washington","17",
"09/17/05","California-Davis","20","Home","Stanford","17",
"09/24/05","UCF","23","Away","Marshall","13",
"10/1/05","UCF","24","Home","La.-Lafayette","21",
"11/12/05","UCF","27","Home","UAB","21",
"10/29/05","UCF","30","Home","East Carolina","20",
"11/05/05","UCF","31","Away","Houston","29",
"11/19/05","UCF","31","Home","Rice","28",
"10/21/05","UCF","34","Away","Tulane","24",
"10/8/05","UCF","38","Away","Memphis","17",
"10/8/05","Central Michigan","14","Home","Army","10",
"10/29/05","Central Michigan","21","Away","Toledo","17",
"10/1/05","Central Michigan","31","Home","Akron","17",
"11/19/05","Central Michigan","31","Home","Ball St.","24",
"10/15/05","Central Michigan","37","Away","Ohio","10",
"09/10/05","Central Michigan","38","Home","Miami (OH)","37",
"10/29/05","Cincinnati","22","Home","Syracuse","16",
"10/15/05","Cincinnati","28","Away","Connecticut","17",
"09/01/05","Cincinnati","28","Away","Eastern Michigan","26",
"09/17/05","Cincinnati","7","Away","Western Carolina","3",
"11/19/05","Clemson","13","Home","South Carolina","9",
"12/27/05","Clemson","19","Away","Colorado","10",Champs Sports Bowl (Orlando FL)
"09/03/05","Clemson","25","Away","Texas A&M","24",
"09/10/05","Clemson","28","Home","Maryland","24",
"10/13/05","Clemson","31","Home","North Carolina St.","10",
"11/12/05","Clemson","35","Away","Florida St.","14",
"10/22/05","Clemson","37","Away","Temple","7",
"11/05/05","Clemson","49","Away","Duke","20",
"10/8/05","Colorado St.","21","Away","Utah","17",
"11/19/05","Colorado St.","31","Home","UNLV","27",
"10/28/05","Colorado St.","35","Home","New Mexico","25",
"10/22/05","Colorado St.","39","Away","Wyoming","31",
"09/29/05","Colorado St.","41","Away","Air Force","23",
"09/24/05","Colorado St.","42","Away","Nevada","21",
"10/29/05","Colorado","23","Home","Kansas St.","20",
"09/03/05","Colorado","31","Away","Colorado St.","28",
"10/1/05","Colorado","34","Home","Oklahoma St.","0",
"09/10/05","Colorado","39","Away","New Mexico St.","0",
"11/05/05","Colorado","41","Away","Missouri","12",
"10/8/05","Colorado","41","Away","Texas A&M","20",
"10/22/05","Colorado","44","Away","Kansas","13",
"11/26/05","Connecticut","15","Away","South Fla.","10",
"10/7/05","Connecticut","26","Away","Syracuse","7",
"09/01/05","Connecticut","38","Away","Buffalo","0",
"10/1/05","Connecticut","47","Home","Army","13",
"09/10/05","Connecticut","59","Away","Liberty","0",
"09/17/05","Duke","40","Away","Virginia Military Institute","14",
"09/03/05","East Carolina","24","Away","Duke","21",
"10/15/05","East Carolina","24","Home","SMU","17",
"11/26/05","East Carolina","31","Away","UAB","23",
"11/19/05","East Carolina","34","Home","Marshall","29",
"10/8/05","East Carolina","41","Away","Rice","28",
"09/24/05","Eastern Michigan","23","Home","Central Michigan","20",
"10/1/05","Eastern Michigan","27","Away","Kent St.","20",
"09/10/05","Eastern Michigan","31","Away","La.-Lafayette","10",
"11/19/05","Eastern Michigan","38","Home","Buffalo","14",
"11/12/05","Florida Atlantic","26","Away","North Texas","23",
"10/6/05","Florida Atlantic","28","Home","La.-Lafayette","10",
"10/1/05","FIU","23","Away","Florida A&M","6",
"11/05/05","FIU","31","Home","La.-Monroe","29",
"12/03/05","FIU","35","Away","Middle Tenn.","31",
"11/19/05","FIU","38","Away","Western Ky.","35",
"11/26/05","FIU","52","Away","Florida Atlantic","6",
"09/05/05","Florida St.","10","Away","Miami (FL)","7",
"12/03/05","Florida St.","27","Away","Virginia Tech","22",ACC Championship (Jacksonville FL)
"09/17/05","Florida St.","28","Home","Boston College","17",
"10/29/05","Florida St.","35","Away","Maryland","27",
"10/1/05","Florida St.","38","Away","Syracuse","14",
"10/8/05","Florida St.","41","Away","Wake Forest","24",
"10/22/05","Florida St.","55","Home","Duke","24",
"09/10/05","Florida St.","62","Away","Citadel","10",
"10/29/05","Florida","14","Away","Georgia","10",Jacksonville FL
"09/17/05","Florida","16","Away","Tennessee","7",
"01/02/06","Florida","31","Away","Iowa","24",Outback Bowl (Tampa FL)
"09/03/05","Florida","32","Away","Wyoming","14",
"11/26/05","Florida","34","Away","Florida St.","7",
"10/8/05","Florida","35","Away","Mississippi St.","9",
"09/10/05","Florida","41","Away","Louisiana Tech","3",
"11/05/05","Florida","49","Away","Vanderbilt","42",
"09/24/05","Florida","49","Home","Kentucky","28",
"11/10/05","Fresno St.","27","Away","Boise St.","7",
"10/29/05","Fresno St.","27","Home","Hawaii","13",
"10/8/05","Fresno St.","37","Home","New Mexico St.","7",
"10/22/05","Fresno St.","40","Home","Idaho","10",
"09/27/05","Fresno St.","44","Away","Toledo","14",
"11/05/05","Fresno St.","45","Away","San Jose St.","7",
"10/15/05","Fresno St.","53","Away","Utah St.","21",
"09/10/05","Fresno St.","55","Away","Weber St.","17",
"10/29/05","Georgia Tech","10","Away","Clemson","9",
"11/19/05","Georgia Tech","14","Home","Miami (FL)","10",
"09/03/05","Georgia Tech","23","Home","Auburn","14",
"09/10/05","Georgia Tech","27","Away","North Carolina","21",
"09/17/05","Georgia Tech","28","Away","Connecticut","13",
"11/05/05","Georgia Tech","30","Away","Wake Forest","17",
"10/15/05","Georgia Tech","35","Home","Duke","10",
"11/26/05","Georgia","14","Home","Georgia Tech","7",
"09/10/05","Georgia","17","Away","South Carolina","15",
"10/22/05","Georgia","23","Away","Arkansas","20",
"09/24/05","Georgia","23","Home","Mississippi St.","10",
"10/8/05","Georgia","27","Home","Tennessee","14",
"12/03/05","Georgia","34","Away","LSU","14",SEC Championship (Atlanta GA)
"10/15/05","Georgia","34","Home","Vanderbilt","17",
"09/17/05","Georgia","44","Away","La.-Monroe","7",
"11/19/05","Georgia","45","Away","Kentucky","13",
"09/03/05","Georgia","48","Away","Boise St.","13",
"09/24/05","Hawaii","24","Home","Idaho","0",
"10/22/05","Hawaii","45","Home","San Jose St.","38",
"10/15/05","Hawaii","49","Away","New Mexico St.","28",
"12/03/05","Hawaii","49","Away","San Diego St.","38",
"11/12/05","Hawaii","50","Away","Utah St.","23",
"11/13/05","Houston","27","Away","Southern Miss.","24",
"10/22/05","Houston","28","Home","Mississippi St.","16",
"10/1/05","Houston","30","Home","Tulsa","23",
"09/10/05","Houston","31","Away","Sam Houston St.","10",
