"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"5","Akron","09/01/07","725","Army","22","14","Neutral Site"
"5","Akron","09/08/07","518","Ohio St.","2","20","Away"
"5","Akron","09/15/07","306","Indiana","24","41","Away"
"5","Akron","09/22/07","331","Kent St.","27","20","Home"
"5","Akron","09/29/07","164","Connecticut","10","44","Away"
"5","Akron","11/23/07","129","Central Mich.","32","35","Home"
"5","Akron","10/13/07","690","Temple","20","24","Home"
"5","Akron","10/27/07","86","Buffalo","10","26","Away"
"5","Akron","11/02/07","71","Bowling Green","20","44","Away"
"5","Akron","11/07/07","519","Ohio","48","37","Home"
"5","Akron","11/14/07","414","Miami (Ohio)","0","7","Away"
"5","Akron","10/06/07","774","Western Mich.","39","38","Away"
"8","Alabama","09/01/07","769","Western Caro.","52","6","Home"
"8","Alabama","09/08/07","736","Vanderbilt","24","10","Away"
"8","Alabama","09/15/07","31","Arkansas","41","38","Home"
"8","Alabama","09/22/07","257","Georgia","23","26","Home"
"8","Alabama","09/29/07","234","Florida St.","14","21","Neutral Site"
"8","Alabama","10/06/07","288","Houston","30","24","Home"
"8","Alabama","12/30/07","157","Colorado","30","24","Away"
"8","Alabama","10/20/07","694","Tennessee","41","17","Home"
"8","Alabama","11/03/07","365","LSU","34","41","Home"
"8","Alabama","11/10/07","430","Mississippi St.","12","17","Away"
"8","Alabama","11/17/07","498","La.-Monroe","14","21","Home"
"8","Alabama","11/24/07","37","Auburn","10","17","Away"
"8","Alabama","10/13/07","433","Mississippi","27","24","Away"
"9","UAB","09/15/07","17","Alcorn St.","22","0","Home"
"9","UAB","09/29/07","719","Tulsa","30","38","Away"
"9","UAB","10/06/07","430","Mississippi St.","13","30","Away"
"9","UAB","10/13/07","718","Tulane","26","21","Home"
"9","UAB","10/20/07","288","Houston","10","49","Home"
"9","UAB","09/08/07","234","Florida St.","24","34","Away"
"9","UAB","11/03/07","664","Southern Miss.","7","37","Home"
"9","UAB","11/10/07","128","UCF","31","45","Home"
"9","UAB","11/17/07","404","Memphis","9","25","Away"
"9","UAB","09/01/07","416","Michigan St.","18","55","Away"
"9","UAB","11/24/07","388","Marshall","39","46","Away"
"9","UAB","10/27/07","196","East Caro.","6","41","Away"
"28","Arizona St.","09/01/07","630","San Jose St.","45","3","Home"
"28","Arizona St.","09/08/07","157","Colorado","33","14","Home"
"28","Arizona St.","09/15/07","626","San Diego St.","34","13","Home"
"28","Arizona St.","09/22/07","528","Oregon St.","44","32","Home"
"28","Arizona St.","09/29/07","674","Stanford","41","3","Away"
"28","Arizona St.","10/06/07","754","Washington St.","23","20","Away"
"28","Arizona St.","12/27/07","703","Texas","34","52","Away"
"28","Arizona St.","10/27/07","107","California","31","20","Home"
"28","Arizona St.","11/03/07","529","Oregon","23","35","Away"
"28","Arizona St.","11/10/07","110","UCLA","24","20","Away"
"28","Arizona St.","11/22/07","657","Southern California","24","44","Home"
"28","Arizona St.","12/01/07","29","Arizona","20","17","Home"
"28","Arizona St.","10/13/07","756","Washington","44","20","Home"
"29","Arizona","09/01/07","77","BYU","7","20","Away"
"29","Arizona","09/08/07","501","Northern Ariz.","45","24","Home"
"29","Arizona","09/15/07","473","New Mexico","27","29","Home"
"29","Arizona","09/22/07","107","California","27","45","Away"
"29","Arizona","09/29/07","754","Washington St.","48","20","Home"
"29","Arizona","12/01/07","28","Arizona St.","17","20","Away"
"29","Arizona","10/13/07","657","Southern California","13","20","Away"
"29","Arizona","10/20/07","674","Stanford","20","21","Home"
"29","Arizona","10/27/07","756","Washington","48","41","Away"
"29","Arizona","11/03/07","110","UCLA","34","27","Home"
"29","Arizona","11/15/07","529","Oregon","34","24","Home"
"29","Arizona","10/06/07","528","Oregon St.","16","31","Away"
"30","Arkansas St.","09/01/07","703","Texas","13","21","Away"
"30","Arkansas St.","09/27/07","404","Memphis","35","31","Home"
"30","Arkansas St.","09/15/07","663","Southern Methodist","45","28","Home"
"30","Arkansas St.","09/22/07","694","Tennessee","27","48","Away"
"30","Arkansas St.","10/06/07","498","La.-Monroe","13","30","Away"
"30","Arkansas St.","11/24/07","664","Southern Miss.","10","16","Away"
"30","Arkansas St.","10/20/07","419","Middle Tenn. St.","7","24","Away"
"30","Arkansas St.","10/27/07","716","Troy","0","27","Home"
"30","Arkansas St.","11/03/07","231","Florida Int'l","27","24","Home"
"30","Arkansas St.","11/10/07","229","Fla. Atlantic","31","34","Away"
"30","Arkansas St.","11/15/07","497","North Texas","31","27","Home"
"30","Arkansas St.","10/13/07","671","La.-Lafayette","52","21","Home"
"31","Arkansas","09/01/07","716","Troy","46","26","Home"
"31","Arkansas","09/15/07","8","Alabama","38","41","Away"
"31","Arkansas","09/22/07","334","Kentucky","29","42","Home"
"31","Arkansas","09/29/07","497","North Texas","66","7","Home"
"31","Arkansas","10/06/07","693","Chattanooga","34","15","Neutral Site"
"31","Arkansas","10/13/07","37","Auburn","7","9","Home"
"31","Arkansas","01/01/08","434","Missouri","7","38","Neutral Site"
"31","Arkansas","10/27/07","231","Florida Int'l","58","10","Home"
"31","Arkansas","11/03/07","648","South Carolina","48","36","Home"
"31","Arkansas","11/10/07","694","Tennessee","13","34","Away"
"31","Arkansas","11/17/07","430","Mississippi St.","45","31","Neutral Site"
"31","Arkansas","11/23/07","365","LSU","50","48","Away"
"31","Arkansas","10/20/07","433","Mississippi","44","8","Away"
"37","Auburn","09/01/07","327","Kansas St.","23","13","Home"
"37","Auburn","09/08/07","651","South Fla.","23","26","Home"
